"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Pre-pregnancy BMI"	"Mother's Pre-pregnancy BMI Code"	"Pre-pregnancy Diabetes"	"Pre-pregnancy Diabetes Code"	"Pre-pregnancy Hypertension"	"Pre-pregnancy Hypertension Code"	Births	Average Age of Mother (years)	Average Birth Weight (grams)	Average Number of Prenatal Visits
	"New Castle County, DE"	"10003"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	24	30.92	3494.88	11.54
	"Sussex County, DE"	"10005"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	28	27.43	3384.89	9.50
	"Sussex County, DE"	"10005"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	15	27.53	3479.73	8.80
	"Sussex County, DE"	"10005"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	13	33.31	3441.08	9.85
	"District of Columbia, DC"	"11001"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	33.94	3266.65	10.24
	"District of Columbia, DC"	"11001"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	35	30.40	2881.83	8.71
	"District of Columbia, DC"	"11001"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	19	33.11	3391.37	12.00
	"District of Columbia, DC"	"11001"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	133	33.71	3408.08	11.51
	"District of Columbia, DC"	"11001"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	31	33.35	3514.29	11.10
	"District of Columbia, DC"	"11001"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	14	32.71	3107.43	10.18
	"Brevard County, FL"	"12009"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	28	28.93	3323.32	9.29
	"Brevard County, FL"	"12009"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	17	29.41	3193.59	8.82
	"Broward County, FL"	"12011"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	23	28.74	2762.65	8.27
	"Broward County, FL"	"12011"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	31.60	2423.00	8.40
	"Broward County, FL"	"12011"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	43	32.63	3094.58	11.52
	"Broward County, FL"	"12011"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	20	32.25	3473.20	10.90
	"Broward County, FL"	"12011"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	11	32.09	2819.91	10.75
	"Clay County, FL"	"12019"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	15	27.07	3184.87	10.14
	"Collier County, FL"	"12021"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	28	29.64	3546.29	10.61
	"Collier County, FL"	"12021"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	11	30.45	3740.55	12.18
	"Duval County, FL"	"12031"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	18	31.06	3038.28	10.78
	"Duval County, FL"	"12031"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	32.00	3031.70	9.40
	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	19	26.32	3138.68	6.63
	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	23	28.65	2931.83	9.73
	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	12	29.42	2941.33	8.42
	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	12	28.33	2939.75	6.40
	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	14	28.86	2545.29	3.67
	"Duval County, FL"	"12031"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	68	29.01	3345.19	10.63
	"Duval County, FL"	"12031"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	38	29.97	3354.16	10.11
	"Duval County, FL"	"12031"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	16	29.19	3370.44	8.25
	"Duval County, FL"	"12031"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	21	31.52	2734.71	4.92
	"Hillsborough County, FL"	"12057"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	23	33.13	2737.09	11.26
	"Hillsborough County, FL"	"12057"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	15	27.67	2323.73	9.21
	"Hillsborough County, FL"	"12057"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	15	28.67	2778.87	8.87
	"Hillsborough County, FL"	"12057"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	143	29.72	3340.73	12.14
	"Hillsborough County, FL"	"12057"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	46	31.72	3242.93	10.60
	"Hillsborough County, FL"	"12057"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	27	32.89	3237.74	11.31
	"Hillsborough County, FL"	"12057"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	10	33.00	3371.60	11.40
	"Lake County, FL"	"12069"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	27.40	3258.90	10.44
	"Lake County, FL"	"12069"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	14	27.14	3580.36	11.00
	"Lee County, FL"	"12071"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	29	28.55	3195.76	9.86
	"Lee County, FL"	"12071"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	14	30.50	3461.00	10.21
	"Manatee County, FL"	"12081"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	20	29.30	3633.10	12.35
	"Martin County, FL"	"12085"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	12	31.00	3427.83	10.50
	"Miami-Dade County, FL"	"12086"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	33.12	3355.76	10.88
	"Miami-Dade County, FL"	"12086"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	19	24.47	2960.58	10.05
	"Miami-Dade County, FL"	"12086"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	23	32.39	3010.57	9.65
	"Miami-Dade County, FL"	"12086"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	28.70	2990.44	10.10
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	21	28.90	3176.62	10.38
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	340	31.10	3245.65	11.00
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	199	30.30	3259.58	10.61
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	62	31.35	3239.13	11.85
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	12	28.83	2992.08	8.42
	"Okaloosa County, FL"	"12091"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	28	28.25	3289.68	13.00
	"Orange County, FL"	"12095"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	12	32.67	3194.42	9.36
	"Orange County, FL"	"12095"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	24	27.67	3163.46	7.00
	"Orange County, FL"	"12095"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	24	29.79	2985.58	5.38
	"Orange County, FL"	"12095"	"Black or African American"	"2054-5"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	21	29.62	2885.19	4.00
	"Orange County, FL"	"12095"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	68	30.94	3347.60	9.10
	"Orange County, FL"	"12095"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	59	30.02	3140.58	8.16
	"Orange County, FL"	"12095"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	21	29.71	3316.19	9.33
	"Orange County, FL"	"12095"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	27	29.22	2945.67	4.67
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	20	28.95	3230.55	11.60
	"Palm Beach County, FL"	"12099"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	28	29.82	2967.25	9.48
	"Palm Beach County, FL"	"12099"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	38	31.68	3020.21	9.03
	"Palm Beach County, FL"	"12099"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	20	32.40	3082.65	10.35
	"Palm Beach County, FL"	"12099"	"Black or African American"	"2054-5"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	10	32.90	3097.90	8.90
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	71	29.77	3213.03	11.33
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	39	31.33	3319.05	10.56
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	17	30.18	3324.35	8.47
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	10	28.70	2789.80	7.90
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	30	29.83	3250.62	10.90
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	19	27.89	3344.68	10.32
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	15	31.27	3179.47	13.13
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	59	30.54	3489.31	11.46
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	15	32.40	3614.93	12.73
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	14	30.36	1975.38	3.00
	"Polk County, FL"	"12105"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	18	26.61	3275.22	8.75
	"Polk County, FL"	"12105"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	14	25.86	3243.23	9.21
	"St. Johns County, FL"	"12109"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	19	30.95	3504.74	10.44
	"St. Johns County, FL"	"12109"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	12	30.08	3413.50	10.58
	"Santa Rosa County, FL"	"12113"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	26.91	3465.36	11.36
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	21	29.43	3597.81	14.38
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	11	30.27	3608.27	13.27
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	28	30.46	3037.46	8.96
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	16	30.75	3157.75	10.31
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	14	29.50	3248.43	6.80
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	19	28.84	3357.42	11.16
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	38	28.71	3313.43	8.16
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	32	28.22	3408.88	9.31
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	17	29.00	3266.82	10.59
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	15	29.53	3190.93	8.87
	"Bartow County, GA"	"13015"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	27.44	3229.50	10.81
	"Bibb County, GA"	"13021"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	12	26.42	2859.08	9.08
	"Chatham County, GA"	"13051"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	15	27.60	2601.40	6.71
	"Chatham County, GA"	"13051"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	14	27.21	2832.36	7.50
	"Chatham County, GA"	"13051"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	23	28.87	3152.78	9.35
	"Chatham County, GA"	"13051"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	12	24.67	2881.67	7.42
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	28	28.04	3301.71	9.79
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	33	29.42	3344.48	8.31
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	12	28.67	3515.42	5.67
	"Clarke County, GA"	"13059"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	30.47	3549.71	11.94
	"Cobb County, GA"	"13067"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	13	30.38	2683.69	11.77
	"Cobb County, GA"	"13067"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	33.80	2749.80	12.80
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	54	29.24	3407.74	11.50
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	23	29.35	3245.35	12.13
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	31.40	3468.30	14.90
	"Columbia County, GA"	"13073"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	31.30	3057.60	13.40
	"DeKalb County, GA"	"13089"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	15	29.53	3187.20	7.73
	"DeKalb County, GA"	"13089"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	19	29.58	3129.00	10.05
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	47	32.17	3394.51	13.00
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	15	31.20	3249.00	14.53
	"Douglas County, GA"	"13097"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	27.90	3289.90	11.20
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	32.15	3535.85	12.46
	"Fulton County, GA"	"13121"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	15	33.13	3073.40	12.07
	"Fulton County, GA"	"13121"	"Black or African American"	"2054-5"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	10	23.60	2727.50	5.50
	"Fulton County, GA"	"13121"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	27	28.37	2823.59	10.76
	"Fulton County, GA"	"13121"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	29	29.76	2989.86	9.46
	"Fulton County, GA"	"13121"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	13	30.15	2667.77	9.46
	"Fulton County, GA"	"13121"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	64	32.53	3320.16	13.05
	"Fulton County, GA"	"13121"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	32	30.97	3240.09	12.31
	"Gwinnett County, GA"	"13135"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	33.00	3124.09	11.45
	"Gwinnett County, GA"	"13135"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	29.82	3285.55	10.91
	"Gwinnett County, GA"	"13135"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	12	29.58	2696.92	8.25
	"Gwinnett County, GA"	"13135"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	21	31.00	3157.14	11.19
	"Gwinnett County, GA"	"13135"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	17	29.65	3462.65	12.00
	"Henry County, GA"	"13151"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	33.00	2970.20	9.80
	"Muscogee County, GA"	"13215"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	26.94	2472.00	10.73
	"Muscogee County, GA"	"13215"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	27.69	3335.94	11.50
	"Muscogee County, GA"	"13215"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	25.10	3177.50	8.50
	"Unidentified Counties, GA"	"13999"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	12	29.58	3251.33	10.00
	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	17	22.59	2714.41	11.50
	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	86	24.59	2987.09	10.00
	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	55	25.64	2912.33	9.11
	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	51	26.86	2827.12	10.82
	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	24	26.38	3139.09	10.29
	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	25	26.12	2618.52	9.48
	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	21	24.95	2946.38	10.05
	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	267	26.87	3273.39	10.91
	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	187	26.96	3304.61	10.46
	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	100	27.45	3121.94	10.81
	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	45	28.82	3206.18	11.00
	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	28	26.54	3402.07	10.07
	"Honolulu County, HI"	"15003"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	32	33.91	3387.78	10.10
	"Honolulu County, HI"	"15003"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	17	33.06	3165.18	12.53
	"Honolulu County, HI"	"15003"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	31	27.84	3486.48	10.81
	"Honolulu County, HI"	"15003"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	12	28.17	3118.08	11.42
	"Honolulu County, HI"	"15003"	"More than one race"	"M"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	29.62	3078.25	10.08
	"Honolulu County, HI"	"15003"	"More than one race"	"M"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	11	30.09	3639.64	9.00
	"Ada County, ID"	"16001"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	32.30	2955.40	14.20
	"Ada County, ID"	"16001"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	72	30.62	3363.83	11.78
	"Ada County, ID"	"16001"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	36	30.61	3394.06	12.89
	"Ada County, ID"	"16001"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	24	28.29	3334.33	12.09
	"Bonneville County, ID"	"16019"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	19	27.16	3228.89	10.11
	"Bonneville County, ID"	"16019"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	25	27.00	3270.56	11.20
	"Canyon County, ID"	"16027"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	22	25.14	3684.95	12.23
	"Canyon County, ID"	"16027"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	21	30.71	3200.19	12.52
	"Kootenai County, ID"	"16055"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	21	28.24	3486.19	13.67
	"Kootenai County, ID"	"16055"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	22	27.86	3337.73	12.95
	"Unidentified Counties, ID"	"16999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	159	27.30	3354.19	11.25
	"Unidentified Counties, ID"	"16999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	90	27.52	3393.36	11.28
	"Unidentified Counties, ID"	"16999"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	39	28.41	3300.21	11.21
	"Unidentified Counties, ID"	"16999"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	17	25.65	3448.88	9.47
	"Unidentified Counties, ID"	"16999"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	14	27.93	2891.93	10.14
	"Champaign County, IL"	"17019"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	34.18	3332.09	13.36
	"Champaign County, IL"	"17019"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	29.76	3097.71	10.35
	"Champaign County, IL"	"17019"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	12	29.42	3529.42	11.50
	"Cook County, IL"	"17031"	"Asian"	"A"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	14	30.79	3440.71	10.62
	"Cook County, IL"	"17031"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	180	32.55	3182.48	11.26
	"Cook County, IL"	"17031"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	71	31.70	3101.59	11.17
	"Cook County, IL"	"17031"	"Asian"	"A"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	18	33.33	3288.67	11.17
	"Cook County, IL"	"17031"	"Asian"	"A"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	10	30.50	3416.30	11.00
	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	10	21.60	3050.90	10.10
	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	112	25.70	2932.37	8.30
